relpath,fullpath_x,filename_x,size_x,modified_x,rootpath_x,fullpath_y,filename_y,size_y,modified_y,rootpath_y,archive_dir,options,skip,remove_dest,backup,archive
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_006.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_006.png,spaceAstronauts_006.png,2773,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_006.png,spaceAstronauts_006.png,2773.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_006.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_006.png.meta,spaceAstronauts_006.png.meta,1475,1485058866.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_006.png.meta,spaceAstronauts_006.png.meta,1475.0,1485058866.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_007.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_007.png,spaceAstronauts_007.png,2463,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_007.png,spaceAstronauts_007.png,2463.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_007.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_007.png.meta,spaceAstronauts_007.png.meta,1475,1485058856.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_007.png.meta,spaceAstronauts_007.png.meta,1475.0,1485058856.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_008.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_008.png,spaceAstronauts_008.png,2930,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_008.png,spaceAstronauts_008.png,2930.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_008.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_008.png.meta,spaceAstronauts_008.png.meta,1475,1485058858.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_008.png.meta,spaceAstronauts_008.png.meta,1475.0,1485058858.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_009.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_009.png,spaceAstronauts_009.png,2982,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_009.png,spaceAstronauts_009.png,2982.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_009.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_009.png.meta,spaceAstronauts_009.png.meta,1475,1485058862.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_009.png.meta,spaceAstronauts_009.png.meta,1475.0,1485058862.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_010.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_010.png,spaceAstronauts_010.png,2059,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_010.png,spaceAstronauts_010.png,2059.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_010.png.meta,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_010.png.meta,spaceAstronauts_010.png.meta,1475,1485058860.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_010.png.meta,spaceAstronauts_010.png.meta,1475.0,1485058860.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_011.png,D:\UnityProjects\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_011.png,spaceAstronauts_011.png,2635,1464204466.0,D:\UnityProjects\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\Assets\AsteroidNavigator\KenneyAssets\kenney_spaceshooterextension\PNG\Sprites X2\Astronauts\spaceAstronauts_011.png,spaceAstronauts_011.png,2635.0,1464204466.0,C:\Users\JGarza\Desktop\x\AsteroidNavigator,C:\Users\JGarza\Desktop\x\AsteroidNavigator\.archive\202304011613,,False,False,False,False
